,hhidpn,ragender
929,14468010,1.male
930,14468020,2.female
931,14473010,1.male
932,14473020,2.female
933,14535010,1.male
934,14535011,2.female
935,14539010,1.male
936,14547010,2.female
937,14548010,1.male
938,14553010,2.female
939,14568010,1.male
940,14568020,2.female
941,14571010,1.male
942,14571040,2.female
943,14576010,1.male
944,14578010,1.male
945,14578040,2.female
946,14587010,2.female
947,14587011,1.male
948,14597010,1.male
949,14605010,1.male
950,14605040,2.female
951,14617010,1.male
952,14617020,2.female
953,14618010,2.female
954,14619010,1.male
955,14619020,2.female
956,14619021,1.male
957,14624010,1.male
958,14624040,2.female
959,14640010,2.female
960,14640011,1.male
961,14648010,2.female
962,14648020,1.male
963,14655020,2.female
964,14655030,1.male
965,14670010,2.female
966,14672010,1.male
967,14672040,2.female
968,14674010,2.female
969,14681010,2.female
970,14681040,1.male
971,14701010,2.female
972,14711010,1.male
973,14711011,2.female
974,14711012,2.female
975,14726010,1.male
976,14726040,2.female
977,14731010,2.female
978,14731020,1.male
979,14736010,1.male
980,14736020,2.female
981,14746010,1.male
982,14748010,1.male
983,14748020,2.female
984,14754010,1.male
985,14754040,2.female
986,14756010,1.male
987,14756040,2.female
988,14758020,2.female
989,14758030,1.male
990,14768010,1.male
991,14771010,1.male
992,14771020,2.female
993,14782010,2.female
994,14783010,2.female
995,14783040,1.male
996,14787010,2.female
997,14802010,2.female
998,14802020,1.male
999,14803010,2.female
1000,14808010,2.female
1001,14813010,1.male
1002,14823020,2.female
1003,14823030,1.male
1004,14830010,2.female
1005,14830020,1.male
1006,14844010,2.female
1007,14852010,1.male
1008,14852020,2.female
1009,14869010,1.male
1010,14869020,2.female
1011,14872010,1.male
1012,14872020,2.female
1013,14902010,1.male
1014,14912010,2.female
1015,14955010,1.male
1016,14955040,2.female
1017,14959010,1.male
1018,14959020,2.female
1019,14981010,2.female
1020,14981011,1.male
1021,14992010,1.male
1022,14996010,2.female
1023,15000010,1.male
1024,15000011,2.female
1025,15014010,2.female
1026,15014040,1.male
1027,15015020,1.male
1028,15015030,2.female
1029,15018010,2.female
1030,15023010,2.female
1031,15023040,1.male
1032,15037010,2.female
1033,15048010,2.female
1034,15055010,1.male
1035,15055040,2.female
1036,15056020,2.female
1037,15056030,1.male
1038,15059010,2.female
1039,15059020,1.male
1040,15080010,1.male
1041,15080040,2.female
1042,15129010,2.female
1043,15131010,2.female
1044,15133010,2.female
1045,15140010,2.female
1046,15140040,1.male
1047,15148010,2.female
1048,15159010,2.female
1049,15172010,1.male
1050,15172020,2.female
1051,15189010,2.female
1052,15189040,1.male
1053,15195010,2.female
1054,15195020,1.male
1055,15200010,1.male
1056,15200040,2.female
1057,15204010,1.male
1058,15204020,2.female
1059,15209010,2.female
1060,15216010,1.male
1061,15225010,1.male
1062,15225020,2.female
1063,15230010,1.male
1064,15230020,2.female
1065,15236010,1.male
1066,15236040,2.female
1067,15239010,1.male
1068,15257010,2.female
1069,15268020,2.female
1070,15268030,1.male
1071,15293010,2.female
1072,15294010,2.female
1073,15304020,2.female
1074,15304030,1.male
1075,15314010,2.female
1076,15332010,2.female
1077,15332040,1.male
1078,15339010,2.female
1079,15341010,2.female
1080,15341040,1.male
1081,15344010,2.female
1082,15344020,1.male
1083,15346020,2.female
1084,15346030,1.male
1085,15358010,1.male
1086,15358020,2.female
1087,15362010,1.male
1088,15362020,2.female
1089,15372010,1.male
1090,15419010,2.female
1091,15419011,1.male
1092,15419040,1.male
1093,15429010,2.female
1094,15431010,2.female
1095,15436010,1.male
1096,15436020,2.female
1097,15440010,1.male
1098,15440040,2.female
1099,15445010,1.male
1100,15445040,2.female
1101,15447010,2.female
1102,15447020,1.male
1103,15451010,1.male
1104,15451040,2.female
1105,15469010,2.female
1106,15471010,1.male
1107,15497010,1.male
1108,15497040,2.female
1109,15502010,1.male
1110,15511010,1.male
1111,15511040,2.female
1112,15514020,2.female
1113,15514030,1.male
1114,15516010,1.male
1115,15516020,2.female
1116,15536010,2.female
1117,15536011,1.male
1118,15537010,1.male
1119,15537011,2.female
1120,15543010,2.female
1121,15543020,1.male
1122,15551010,1.male
1123,15551020,2.female
1124,15560010,1.male
1125,15560040,2.female
1126,15565020,2.female
1127,15565030,1.male
1128,15566020,2.female
1129,15566030,1.male
1130,15570010,1.male
1131,15570040,2.female
1132,15581010,2.female
1133,15581011,1.male
1134,15588010,2.female
1135,15588040,1.male
1136,15589010,2.female
1137,15591010,2.female
1138,15591020,1.male
1139,15592010,2.female
1140,15593020,2.female
1141,15593030,1.male
1142,15604010,2.female
1143,15618010,2.female
1144,15618040,1.male
1145,15625010,1.male
1146,15625020,2.female
1147,15636010,2.female
1148,15648020,2.female
1149,15648030,1.male
1150,15657010,2.female
1151,15658010,2.female
1152,15659010,1.male
1153,15659040,2.female
1154,15662020,2.female
1155,15676010,1.male
1156,15676040,2.female
1157,15698010,1.male
1158,15698040,2.female
1159,15707010,1.male
1160,15707020,2.female
1161,15708010,1.male
1162,15709020,2.female
1163,15709030,1.male
1164,15726010,1.male
1165,15726040,2.female
1166,15730020,1.male
1167,15730030,2.female
1168,15730031,1.male
1169,15734010,1.male
1170,15734040,2.female
1171,15739010,1.male
1172,15739040,2.female
1173,15752010,1.male
1174,15752020,2.female
