,hhidpn,r12sayret
1351,16457010,
1352,16459010,
1353,16459040,
1354,16460010,1.completely retired
1355,16468010,1.completely retired
1356,16468040,1.completely retired
1357,16471010,1.completely retired
1358,16475010,1.completely retired
1359,16478010,1.completely retired
1360,16481030,
1361,16484020,1.completely retired
1362,16484030,1.completely retired
1363,16491010,1.completely retired
1364,16496010,
1365,16496040,
1366,16498010,
1367,16498040,
1368,16500010,
1369,16500020,
1370,16510020,
1371,16510030,
1372,16512010,
1373,16517010,
1374,16526010,
1375,16526020,
1376,16528030,2.partly retired
1377,16528040,0.not retired
1378,16536010,
1379,16541010,1.completely retired
1380,16541011,0.not retired
1381,16544010,
1382,16548010,
1383,16558010,
1384,16558020,
