,hhidpn,r7lgmusa
1415,16700010,0.0
1416,16700020,0.0
1417,16704020,1.0
1418,16704030,
1419,16705010,0.0
1420,16705020,0.0
1421,16706010,2.0
1422,16706020,0.0
1423,16710010,0.0
1424,16711010,2.0
1425,16711020,3.0
1426,16715030,4.0
1427,16715040,0.0
1428,16736010,0.0
1429,16736020,2.0
1430,16747010,0.0
1431,16747020,0.0
1432,16752010,
1433,16761010,1.0
1434,16770010,3.0
1435,16789010,1.0
1436,16789020,3.0
1437,16799010,2.0
1438,16799040,0.0
1439,16804010,
1440,16804020,
1441,16809010,
1442,16809040,
1443,16810010,3.0
1444,16810011,0.0
1445,16822010,0.0
1446,16822020,1.0
1447,16827010,1.0
1448,16827040,1.0
1449,16836010,
1450,16836020,
1451,16841010,0.0
1452,16844010,
1453,16844020,
1454,16846010,
1455,16846040,3.0
1456,16848010,3.0
1457,16848040,0.0
1458,16851010,0.0
1459,16851020,
1460,16855020,4.0
1461,16855030,2.0
1462,16856010,0.0
1463,16856040,3.0
1464,16870010,1.0
1465,16870011,0.0
1466,16870040,
1467,16873020,3.0
1468,16873030,0.0
1469,16901010,
1470,16904010,0.0
1471,16904011,0.0
1472,16914010,
1473,16925010,0.0
1474,16925040,1.0
1475,16931020,0.0
1476,16931030,0.0
1477,16933020,
1478,16933030,0.0
1479,16935010,1.0
1480,16935011,
1481,16954010,0.0
1482,16954012,
1483,16956010,0.0
1484,16958010,
1485,16959010,
